ESTABLECIMIENTO,PROVINCIA,MUNICIPIO,TITULAR,DIRECCIÓN,DEPARTAMENTO DE SALUD,ZONA ZBS,ZONA FARMACÉUTICA
A-236-F,ALICANTE,ALICANTE/ALACANT,CELIA LUZ RUIZ,"CALLE Mayor, 29, 03002",17,2,21
A-237-F,ALICANTE,ALICANTE/ALACANT,Mª ENCARNACIÓN TORREGROSA BROTONS,"CALLE Doctora Matilde Perez Jover, 1, 03005",19,4,21
A-242-F,ALICANTE,ALICANTE/ALACANT,MARIA AMPARO SERVER ORTOLA,"AVDA ORIHUELA, 106, 03006",19,3,21
A-248-F,ALICANTE,ALICANTE/ALACANT,"J. FERNANDO TOLEDANO IVORRA, ALEJANDRO TOLEDANO IVORRA","CALLE San Mateo, 24, 03013",17,3,21
A-252-F,ALICANTE,ALICANTE/ALACANT,MARIA LUZ MARIA GOSALBEZ," DIPUTADO ANTONIO GARCIA MIRALLES, S/N, 03014",19,6,21
A-253-F,ALICANTE,ALICANTE/ALACANT,EDUARDO LUIS TRIVES LOMBARDERO,"CALLE Calderon de la Barca, 8, 03004",17,2,21
A-25-F,ALICANTE,ALICANTE/ALACANT,ELENA CALATAYUD CALPENA,"CALLE Pardo Jimeno, 22, 03007",19,2,21
A-261-F,ALICANTE,ALICANTE/ALACANT,"ALBERTO JIMENEZ BUENDIA, ENCARNACION RIBERA PEREZ","CALLE Foglietti, 38, 03007",19,2,21
A-263-F,ALICANTE,ALICANTE/ALACANT,EULOGIO TAVERNER TORRENT,"AVDA Novelda, 83, 03009",19,5,21
A-276-F,ALICANTE,ALICANTE/ALACANT,ENRIQUE TRIVES PRADA,"CALLE Foguerer, 2, 03012",19,6,21
A-282-F,ALICANTE,ALICANTE/ALACANT,JAVIER T. CASARES BENLLOCH,"CALLE Maestro Luis Torregrosa, 9, 03013",17,3,21
A-292-F,ALICANTE,ALICANTE/ALACANT,LUIS MARTINEZ PEDAUYE,"AVDA Condomina, 36, 03540",17,5,21
A-297-F,ALICANTE,ALICANTE/ALACANT,ALEJANDRO DORMIDO GARROSA,"CALLE Jose Garcia Selles, 1, 03015",17,3,21
A-2-F,ALICANTE,ALICANTE/ALACANT,BEGOÑA MARTINEZ ALARCON,"AVDA Alfonso el Sabio, 4, 03004",17,2,21
A-302-F,ALICANTE,ALICANTE/ALACANT,CRISTINA CASARES BENLLOCH,"CALLE Arzobispo Loaces, 8, 03003",17,1,21
A-305-F,ALICANTE,ALICANTE/ALACANT,BLANCA R. BARBERO MILLAN,"CALLE Doctor Sapena, 26, 03013",17,3,21
A-308-F,ALICANTE,ALICANTE/ALACANT,JUAN ANTONIO MARTINEZ GALIPIENSO,"CALLE Olivino, 6, 03014",19,6,21
A-312-F,ALICANTE,ALICANTE/ALACANT,Mª JOSE HIDALGO NAVARRO,"AVDA Historiador Vicente Ramos, B1Z, 03540",17,5,21
A-318-F,ALICANTE,ALICANTE/ALACANT,"Mª CARMEN PAJARES GUTIERREZ, DAVID JOSE LLORET PAJARES","CALLE Garcia Andreu, 44, 03007",19,2,21
A-31-F,ALICANTE,ALICANTE/ALACANT,JOSE MIGUEL RUIZ FERNANDEZ,"PLAZA Calvo Sotelo, 9, 03003",17,1,21
A-320-F,ALICANTE,ALICANTE/ALACANT,LAURA PEREZ MARTINEZ,"CALLE Rosalia de Castro, 6, 03010",19,5,21
A-322-F,ALICANTE,ALICANTE/ALACANT,MARIA LUISA PONCE DE LEON DEL BELLO,"CALLE Orense, 2, 03003",17,1,21
A-324-F,ALICANTE,ALICANTE/ALACANT,CRISTINA YOLANDA GONZALEZ SANCHEZ,"CALLE Inmaculada del Pla, 12, 03013",17,3,21
A-327-F,ALICANTE,ALICANTE/ALACANT,MARIA INMACULADA UBIETA TORRES,"PLAZA ARGEL, 3, 03011",19,7,21
A-329-F,ALICANTE,ALICANTE/ALACANT,ALFONSO PABLO MORENO DE ARCOS MORA,"CALLE Poeta Garcilaso, 6, 03005",19,4,21
A-331-F,ALICANTE,ALICANTE/ALACANT,MARIA DOLORES BOTELLA BALLESTEROS,"CALLE Gorga, 9, 03014",19,6,21
A-332-F,ALICANTE,ALICANTE/ALACANT,JUAN FERNANDEZ DE PALENCIA GREGORIO,"CALLE Mexico, 27, 03008",19,2,21
A-333-F,ALICANTE,ALICANTE/ALACANT,MARIA DE LOS ANGELES GARCIA TORRENT,"AVDA Pintor Xavier Soler, 13, 03015",17,3,21
A-344-F,ALICANTE,ALICANTE/ALACANT,RAQUEL  GARCIA  ESCOLANO,"CALLE Cruz del Sur, 45, 03006",19,3,21
A-346-F,ALICANTE,ALICANTE/ALACANT,FRANCISCA URIS SELLES,"CALLE Los Montesinos, 7, 03015",17,3,21
A-348-F,ALICANTE,ALICANTE/ALACANT,MARIA JOSÉ COSTA BALLESTER,"AVDA PINTOR BAEZA, 8, 03010",19,1,21
A-34-F,ALICANTE,ALICANTE/ALACANT,"Mª CARMEN FUENTES SIRVENT, Mª CONSOLACION FUENTES SIRVENT","CALLE Sevilla, 99, 03012",19,1,21
A-352-F,ALICANTE,ALICANTE/ALACANT,"Mª LUISA PEIRO BLANCO, LUIS NUÑEZ CASTILLO","AVDA Benito Perez Galdos, 47-49, 03005",17,1,21
A-354-F,ALICANTE,ALICANTE/ALACANT,RAIMUNDA LÓPEZ SÁNCHEZ,"CALLE Presbitero B. Carrasco, 34, 03005",19,4,21
A-356-F,ALICANTE,ALICANTE/ALACANT,"NURIA BECERRA VILAPLANA, RAFAEL FERNANDEZ RODRIGUEZ","CALLE Eduardo Langucha, 3, 03006",19,3,21
A-357-F,ALICANTE,ALICANTE/ALACANT,ALBERTO GARCIA LOPEZ,"CALLE Padre Espla, 63, 03013",17,3,21
A-35-F,ALICANTE,ALICANTE/ALACANT,Mª FRANCISCA MONTOLIU BLASCO,"CALLE Adolfo MuÃ±oz Alonso, 12, 03005",19,4,21
A-363-F,ALICANTE,ALICANTE/ALACANT,JOSE LUIS ARQUES SOLER,"AVDA Holanda, S/N, 03540",17,5,21
A-368-F,ALICANTE,ALICANTE/ALACANT,FERNANDO CABRERA TORRES,"CALLE Periodista Fco.Bas Mingot, 71, 03015",17,4,21
A-369-F,ALICANTE,ALICANTE/ALACANT,ANGEL MARIA SIERRA ROMERO,"PLAZA Joaquin Maria Lopez, 12, 03009",19,5,21
A-380-F,ALICANTE,ALICANTE/ALACANT,MARIA HELENA DEL RIO AYALA,"CALLE Martin Luther King, 9, 03010",19,6,21
A-381-F,ALICANTE,ALICANTE/ALACANT,MARIA DOLORES MOYANO CHICOY,"AVDA NOVELDA, 38, 03010",19,6,21
A-382-F,ALICANTE,ALICANTE/ALACANT,JULIA BENLLOCH PEREZ,"CALLE San Mateo, 64, 03013",17,3,21
A-385-F,ALICANTE,ALICANTE/ALACANT,PURIFICACION RUIZ MEGIAS,"CALLE General Millan Astray, 58, 03008",19,2,21
A-387-F,ALICANTE,ALICANTE/ALACANT,MARIA LUISA MOLTO CALABUIG,"CALLE SOCIEDAD CULTURAL Y DEPORTIVA BETIS-FLORIDA, 15, 03007",19,3,21
A-389-F,ALICANTE,ALICANTE/ALACANT,"ANTONIO JOSE PARDO GONZALEZ, CARMEN NAVARRO GONZALEZ","AVDA SANTANDER, S/N, 03540",17,5,21
A-393-F,ALICANTE,ALICANTE/ALACANT,DAVID TOLEDANO MARTOS,"CALLE Virgen de la Salud, 7, 03009",19,5,21
A-396-F,ALICANTE,ALICANTE/ALACANT,Mª DEL CARMEN ESTEBAN DELGADO,"CALLE Tato, 3, 03005",19,4,21
A-398-F,ALICANTE,ALICANTE/ALACANT,MARIA TERESA MATAIX PEREZ,"CALLE Navas (las), 22, 03001",17,1,21
A-404-F,ALICANTE,ALICANTE/ALACANT,LUIS FELIPE GIMENO DE CASTRO," SIERRA MARIOLA, G, , 03011",19,7,21
A-406-F,ALICANTE,ALICANTE/ALACANT,"MARIA JESUS LOZANO JIMENEZ, ELIAS JOSE OTERO LOZANO","AVDA Denia, S/N, 03016",17,3,21
A-409-F,ALICANTE,ALICANTE/ALACANT,MARIA TERESA REDONDO MARIN,"CALLE Benissa, 2, 03014",19,6,21
A-40-F,ALICANTE,ALICANTE/ALACANT,JOSE CLIMENT MECHO,"CALLE General Espartero, 78, 03012",19,6,21
A-411-F,ALICANTE,ALICANTE/ALACANT,SILVIA VIVES PEREZ,"CALLE Santa Maria Mazzarello, 3, 03007",19,2,21
A-413-F,ALICANTE,ALICANTE/ALACANT,ADELINA RIPOLL LINARES,"AVDA Oscar Espla, 25, 03007",19,2,21
A-414-F,ALICANTE,ALICANTE/ALACANT,ALMUDENA MARIA SERRANO GUILLEN,"CALLE Auso y Monzo, 14, 03006",19,3,21
A-41-F,ALICANTE,ALICANTE/ALACANT,PILAR TRIVES PRADA,"CALLE Angel Celdran Carratala, 2, 03006",19,3,21
A-420-F,ALICANTE,ALICANTE/ALACANT,CRISTINA ANDRÉS CERVERA,"AVDA Conde de Lumiares, 38, 03010",19,1,21
A-421-F,ALICANTE,ALICANTE/ALACANT,MARIA JOSEFA PEREZ BERNABEU,"CALLE Bono Guarner, 46, 03005",19,4,21
A-422-F,ALICANTE,ALICANTE/ALACANT,VERONICA AZNAR BEVIA,"CALLE Francisco Carratala Cern., 23, 03010",19,1,21
